2024-05-20T08:47:01,455724446+02:00;temperature.gpu=37.6;temperature.cpu=37.552;temperature.env=25.4;humidity=50.5;
2024-05-20T08:47:02,506018577+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.4;humidity=50.5;
2024-05-20T08:47:03,554837175+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.4;humidity=50.6;
2024-05-20T08:47:04,603815851+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.4;humidity=50.6;
2024-05-20T08:47:05,640097512+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.4;humidity=50.6;
2024-05-20T08:47:06,673952134+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.4;humidity=50.6;
2024-05-20T08:47:07,707174429+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.4;humidity=50.6;
2024-05-20T08:47:08,736970077+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.7;
2024-05-20T08:47:09,775580767+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.7;
2024-05-20T08:47:10,814413537+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.7;
2024-05-20T08:47:11,846873440+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.7;
2024-05-20T08:47:12,880520629+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.3;humidity=50.7;
2024-05-20T08:47:13,943670707+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:15,003498038+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:16,032871031+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:17,070533461+02:00;temperature.gpu=38.1;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:18,112979602+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:19,165775897+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:20,222508895+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:21,262286053+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
2024-05-20T08:47:22,313301971+02:00;temperature.gpu=38.6;temperature.cpu=38.628;temperature.env=25.3;humidity=50.6;
