timeInSecondsSinceEpoch;source;destination;databytes
1717607610.860910;192.168.1.1.8888;172.23.69.13.59034;d8d9a6a3005d
1717607610.860913;192.168.1.1.8888;172.23.69.13.59034;f21cc3a782a4
1717607610.889031;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.889465;192.168.1.1.8888;172.23.69.13.59034;b3e006ca066d
1717607610.889489;192.168.1.1.8888;172.23.69.13.59034;44c2baa007ac
1717607610.889699;192.168.1.1.8888;172.23.69.13.59034;1e08fde5ca4d
1717607610.889709;192.168.1.1.8888;172.23.69.13.59034;3f2b01c9d461
1717607610.889873;192.168.1.1.8888;172.23.69.13.59034;2b3969eb797a
1717607610.890307;192.168.1.1.8888;172.23.69.13.59034;86498c05acff
1717607610.891547;192.168.1.1.8888;172.23.69.13.59034;a2228c1b739f
1717607610.891576;192.168.1.1.8888;172.23.69.13.59034;04f63ae3357c
1717607610.923723;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.923844;192.168.1.1.8888;172.23.69.13.59034;26ffbb9ab746
1717607610.923946;192.168.1.1.8888;172.23.69.13.59034;df268855dcfe
1717607610.924441;192.168.1.1.8888;172.23.69.13.59034;faf224ce74ab
1717607610.924564;192.168.1.1.8888;172.23.69.13.59034;b844899de222
1717607610.929239;192.168.1.1.8888;172.23.69.13.59034;20682f40d6b8
1717607610.929314;192.168.1.1.8888;172.23.69.13.59034;93601e3d0671
1717607610.964437;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.967607;192.168.1.1.8888;172.23.69.13.59034;cb7c22cee146
1717607610.967680;192.168.1.1.8888;172.23.69.13.59034;c05542ce9665
1717607610.967687;192.168.1.1.8888;172.23.69.13.59034;1e580f723c1e
1717607610.989700;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.989992;192.168.1.1.8888;172.23.69.13.59034;e13100cd0c23
1717607610.990248;192.168.1.1.8888;172.23.69.13.59034;46d9fff18e9d
1717607610.990488;192.168.1.1.8888;172.23.69.13.59034;cfb703593940
1717607610.990761;192.168.1.1.8888;172.23.69.13.59034;549aa3fa57de
1717607610.990773;192.168.1.1.8888;172.23.69.13.59034;a0d62f1ebf2d
1717607610.990962;192.168.1.1.8888;172.23.69.13.59034;706ee0c67327
1717607610.991073;192.168.1.1.8888;172.23.69.13.59034;3cedf51b6541
1717607610.991192;192.168.1.1.8888;172.23.69.13.59034;d9ca7b52d4ce
1717607610.991329;192.168.1.1.8888;172.23.69.13.59034;323a45e83fbf
1717607610.991439;192.168.1.1.8888;172.23.69.13.59034;910263f5b382
1717607610.991561;192.168.1.1.8888;172.23.69.13.59034;d942154fa349
1717607610.991721;192.168.1.1.8888;172.23.69.13.59034;bbc144fd679c
